"X" "Y" "Z"
202 0 -2.98
203 0 -2.97
204 0 -2.96
205 0 -2.95
206 0 -2.94
207 0 -2.93
208 0 -2.92
209 0 -2.91
210 0 -2.9
211 0 -2.89
212 0 -2.88
213 0 -2.87
214 0 -2.86
215 0 -2.85
216 0 -2.84
217 1 -2.83
218 0 -2.82
219 0 -2.81
220 0 -2.8
221 0 -2.79
222 0 -2.78
223 0 -2.77
224 0 -2.76
225 0 -2.75
226 0 -2.74
227 0 -2.73
228 0 -2.72
229 0 -2.71
230 0 -2.7
231 0 -2.69
232 0 -2.68
233 0 -2.67
234 0 -2.66
235 1 -2.65
236 0 -2.64
237 0 -2.63
238 0 -2.62
239 0 -2.61
240 0 -2.6
241 0 -2.59
242 0 -2.58
243 0 -2.57
244 0 -2.56
245 0 -2.55
246 0 -2.54
247 0 -2.53
248 0 -2.52
249 0 -2.51
250 0 -2.5
251 0 -2.49
252 0 -2.48
253 0 -2.47
254 0 -2.46
255 0 -2.45
256 0 -2.44
257 0 -2.43
258 0 -2.42
259 0 -2.41
260 0 -2.4
261 0 -2.39
262 0 -2.38
263 0 -2.37
264 1 -2.36
265 0 -2.35
266 0 -2.34
267 0 -2.33
268 0 -2.32
269 0 -2.31
270 0 -2.3
271 0 -2.29
272 0 -2.28
273 1 -2.27
274 0 -2.26
275 0 -2.25
276 0 -2.24
277 1 -2.23
278 0 -2.22
279 0 -2.21
280 0 -2.2
281 0 -2.19
282 0 -2.18
283 0 -2.17
284 0 -2.16
285 0 -2.15
286 0 -2.14
287 0 -2.13
288 0 -2.12
289 0 -2.11
290 0 -2.1
291 0 -2.09
292 0 -2.08
293 0 -2.07
294 0 -2.06
295 0 -2.05
296 0 -2.04
297 0 -2.03
298 0 -2.02
299 0 -2.01
300 0 -2
301 1 -1.99
302 0 -1.98
303 0 -1.97
304 0 -1.96
305 0 -1.95
306 0 -1.94
307 0 -1.93
308 0 -1.92
309 0 -1.91
310 1 -1.9
311 1 -1.89
312 1 -1.88
313 0 -1.87
314 0 -1.86
315 0 -1.85
316 0 -1.84
317 0 -1.83
318 0 -1.82
319 0 -1.81
320 0 -1.8
321 0 -1.79
322 0 -1.78
323 0 -1.77
324 0 -1.76
325 0 -1.75
326 0 -1.74
327 1 -1.73
328 0 -1.72
329 0 -1.71
330 0 -1.7
331 0 -1.69
332 1 -1.68
333 1 -1.67
334 1 -1.66
335 0 -1.65
336 0 -1.64
337 0 -1.63
338 0 -1.62
339 1 -1.61
340 0 -1.6
341 0 -1.59
342 0 -1.58
343 0 -1.57
344 1 -1.56
345 1 -1.55
346 0 -1.54
347 1 -1.53
348 0 -1.52
349 0 -1.51
350 0 -1.5
351 0 -1.49
352 0 -1.48
353 1 -1.47
354 0 -1.46
355 1 -1.45
356 0 -1.44
357 0 -1.43
358 0 -1.42
359 0 -1.41
360 0 -1.4
361 1 -1.39
362 0 -1.38
363 0 -1.37
364 0 -1.36
365 1 -1.35
366 0 -1.34
367 0 -1.33
368 0 -1.32
369 0 -1.31
370 0 -1.3
371 0 -1.29
372 0 -1.28
373 0 -1.27
374 0 -1.26
375 1 -1.25
376 0 -1.24
377 0 -1.23
378 1 -1.22
379 1 -1.21
380 0 -1.2
381 0 -1.19
382 0 -1.18
383 0 -1.17
384 1 -1.16
385 1 -1.15
386 0 -1.14
387 0 -1.13
388 0 -1.12
389 1 -1.11
390 0 -1.1
391 0 -1.09
392 0 -1.08
393 1 -1.07
394 0 -1.06
395 1 -1.05
396 1 -1.04
397 1 -1.03
398 0 -1.02
399 0 -1.01
400 0 -1
401 0 -0.99
402 0 -0.98
403 1 -0.97
404 1 -0.96
405 0 -0.95
406 0 -0.94
407 1 -0.93
408 0 -0.92
409 0 -0.91
410 0 -0.9
411 0 -0.89
412 1 -0.88
413 0 -0.87
414 0 -0.86
415 0 -0.85
416 0 -0.84
417 0 -0.83
418 0 -0.82
419 0 -0.81
420 0 -0.8
421 0 -0.79
422 0 -0.78
423 1 -0.77
424 1 -0.76
425 1 -0.75
426 0 -0.74
427 1 -0.73
428 0 -0.72
429 0 -0.71
430 0 -0.7
431 1 -0.69
432 0 -0.68
433 0 -0.67
434 0 -0.66
435 0 -0.649999999999999
436 1 -0.64
437 1 -0.63
438 0 -0.62
439 0 -0.61
440 1 -0.6
441 0 -0.59
442 0 -0.58
443 0 -0.57
444 0 -0.56
445 1 -0.55
446 0 -0.54
447 0 -0.53
448 1 -0.52
449 1 -0.51
450 1 -0.5
451 0 -0.49
452 1 -0.48
453 0 -0.47
454 1 -0.46
455 0 -0.45
456 0 -0.44
457 0 -0.43
458 1 -0.42
459 0 -0.41
460 1 -0.399999999999999
461 1 -0.39
462 1 -0.38
463 0 -0.37
464 0 -0.36
465 0 -0.35
466 0 -0.34
467 1 -0.33
468 0 -0.32
469 1 -0.31
470 0 -0.3
471 1 -0.29
472 1 -0.28
473 0 -0.27
474 0 -0.26
475 1 -0.25
476 1 -0.24
477 0 -0.23
478 1 -0.22
479 0 -0.21
480 0 -0.2
481 0 -0.19
482 0 -0.18
483 0 -0.17
484 0 -0.16
485 0 -0.149999999999999
486 0 -0.14
487 1 -0.13
488 0 -0.12
489 1 -0.11
490 0 -0.0999999999999996
491 1 -0.0899999999999999
492 1 -0.0800000000000001
493 0 -0.0700000000000003
494 0 -0.0599999999999996
495 0 -0.0499999999999998
496 0 -0.04
497 1 -0.0300000000000002
498 1 -0.0199999999999996
499 0 -0.00999999999999979
500 1 0
501 1 0.00999999999999979
502 0 0.0200000000000005
503 0 0.0300000000000002
504 0 0.04
505 0 0.0499999999999998
506 1 0.0600000000000005
507 1 0.0700000000000003
508 1 0.0800000000000001
509 1 0.0899999999999999
510 1 0.100000000000001
511 0 0.11
512 0 0.12
513 1 0.13
514 1 0.14
515 0 0.15
516 0 0.16
517 0 0.17
518 1 0.18
519 0 0.19
520 1 0.2
521 0 0.21
522 0 0.22
523 0 0.23
524 0 0.24
525 1 0.25
526 1 0.26
527 1 0.27
528 0 0.28
529 1 0.29
530 1 0.3
531 0 0.31
532 0 0.32
533 1 0.33
534 0 0.34
535 0 0.350000000000001
536 0 0.36
537 0 0.37
538 0 0.38
539 1 0.39
540 0 0.4
541 1 0.41
542 1 0.42
543 0 0.43
544 0 0.44
545 1 0.45
546 1 0.46
547 1 0.47
548 1 0.48
549 1 0.49
550 0 0.5
551 1 0.51
552 1 0.52
553 1 0.53
554 0 0.54
555 1 0.55
556 1 0.56
557 1 0.57
558 1 0.58
559 0 0.59
560 1 0.600000000000001
561 1 0.61
562 1 0.62
563 0 0.63
564 1 0.64
565 1 0.65
566 1 0.66
567 1 0.67
568 1 0.68
569 0 0.69
570 1 0.7
571 1 0.71
572 1 0.72
573 1 0.73
574 0 0.74
575 1 0.75
576 1 0.76
577 0 0.77
578 0 0.78
579 1 0.79
580 1 0.8
581 0 0.81
582 1 0.82
583 1 0.83
584 1 0.84
585 0 0.850000000000001
586 1 0.86
587 1 0.87
588 0 0.88
589 1 0.89
590 0 0.9
591 0 0.91
592 0 0.92
593 0 0.93
594 1 0.94
595 1 0.95
596 1 0.96
597 1 0.97
598 0 0.98
599 1 0.99
600 0 1
601 1 1.01
602 1 1.02
603 0 1.03
604 1 1.04
605 0 1.05
606 1 1.06
607 1 1.07
608 1 1.08
609 0 1.09
610 1 1.1
611 1 1.11
612 1 1.12
613 0 1.13
614 1 1.14
615 1 1.15
616 1 1.16
617 1 1.17
618 1 1.18
619 1 1.19
620 1 1.2
621 1 1.21
622 1 1.22
623 0 1.23
624 1 1.24
625 0 1.25
626 1 1.26
627 1 1.27
628 1 1.28
629 0 1.29
630 1 1.3
631 1 1.31
632 1 1.32
633 0 1.33
634 1 1.34
635 1 1.35
636 1 1.36
637 1 1.37
638 1 1.38
639 1 1.39
640 1 1.4
641 1 1.41
642 1 1.42
643 1 1.43
644 0 1.44
645 1 1.45
646 0 1.46
647 1 1.47
648 1 1.48
649 1 1.49
650 1 1.5
651 1 1.51
652 1 1.52
653 1 1.53
654 1 1.54
655 1 1.55
656 1 1.56
657 1 1.57
658 1 1.58
659 1 1.59
660 1 1.6
661 1 1.61
662 0 1.62
663 1 1.63
664 1 1.64
665 1 1.65
666 1 1.66
667 1 1.67
668 1 1.68
669 1 1.69
670 1 1.7
671 0 1.71
672 1 1.72
673 1 1.73
674 1 1.74
675 0 1.75
676 1 1.76
677 1 1.77
678 1 1.78
679 1 1.79
680 1 1.8
681 1 1.81
682 1 1.82
683 1 1.83
684 1 1.84
685 1 1.85
686 1 1.86
687 1 1.87
688 1 1.88
689 0 1.89
690 0 1.9
691 1 1.91
692 0 1.92
693 0 1.93
694 1 1.94
695 1 1.95
696 1 1.96
697 1 1.97
698 1 1.98
699 1 1.99
700 1 2
701 0 2.01
702 1 2.02
703 1 2.03
704 1 2.04
705 1 2.05
706 1 2.06
707 1 2.07
708 1 2.08
709 1 2.09
710 1 2.1
711 1 2.11
712 0 2.12
713 1 2.13
714 1 2.14
715 1 2.15
716 1 2.16
717 1 2.17
718 1 2.18
719 1 2.19
720 1 2.2
721 1 2.21
722 1 2.22
723 1 2.23
724 1 2.24
725 1 2.25
726 1 2.26
727 1 2.27
728 1 2.28
729 0 2.29
730 1 2.3
731 1 2.31
732 1 2.32
733 1 2.33
734 1 2.34
735 1 2.35
736 1 2.36
737 1 2.37
738 1 2.38
739 1 2.39
740 1 2.4
741 1 2.41
742 0 2.42
743 1 2.43
744 0 2.44
745 0 2.45
746 1 2.46
747 1 2.47
748 0 2.48
749 1 2.49
750 1 2.5
751 1 2.51
752 1 2.52
753 1 2.53
754 1 2.54
755 1 2.55
756 1 2.56
757 1 2.57
758 0 2.58
759 1 2.59
760 1 2.6
761 1 2.61
762 1 2.62
763 1 2.63
764 1 2.64
765 1 2.65
766 1 2.66
767 1 2.67
768 1 2.68
769 1 2.69
770 1 2.7
771 1 2.71
772 1 2.72
773 1 2.73
774 1 2.74
775 1 2.75
776 0 2.76
777 1 2.77
778 1 2.78
779 1 2.79
780 0 2.8
781 1 2.81
782 1 2.82
783 1 2.83
784 1 2.84
785 1 2.85
786 1 2.86
787 1 2.87
788 0 2.88
789 1 2.89
790 1 2.9
791 1 2.91
792 1 2.92
793 1 2.93
794 1 2.94
795 1 2.95
796 1 2.96
797 1 2.97
798 1 2.98
799 1 2.99
800 0 3
801 1 3.01
802 1 3.02
803 1 3.03
804 1 3.04
805 1 3.05
806 0 3.06
807 1 3.07
808 1 3.08
809 1 3.09
810 1 3.1
811 1 3.11
812 1 3.12
813 1 3.13
814 1 3.14
815 1 3.15
816 1 3.16
817 1 3.17
818 1 3.18
819 1 3.19
820 1 3.2
821 1 3.21
822 1 3.22
823 1 3.23
824 1 3.24
825 1 3.25
826 1 3.26
827 1 3.27
828 1 3.28
829 1 3.29
830 1 3.3
831 1 3.31
832 0 3.32
833 1 3.33
834 1 3.34
835 1 3.35
836 1 3.36
837 1 3.37
838 1 3.38
839 1 3.39
840 1 3.4
841 1 3.41
842 1 3.42
843 1 3.43
844 1 3.44
845 1 3.45
846 1 3.46
847 1 3.47
848 1 3.48
849 1 3.49
850 1 3.5
851 1 3.51
852 1 3.52
853 1 3.53
854 1 3.54
855 1 3.55
856 1 3.56
857 1 3.57
858 1 3.58
859 1 3.59
860 1 3.6
861 1 3.61
862 1 3.62
863 1 3.63
864 1 3.64
865 1 3.65
866 1 3.66
867 1 3.67
868 1 3.68
869 1 3.69
870 1 3.7
871 1 3.71
872 1 3.72
873 1 3.73
874 1 3.74
875 1 3.75
876 1 3.76
877 1 3.77
878 1 3.78
879 1 3.79
880 1 3.8
881 1 3.81
882 1 3.82
883 1 3.83
884 1 3.84
885 1 3.85
886 1 3.86
887 1 3.87
888 1 3.88
889 1 3.89
890 1 3.9
891 1 3.91
892 1 3.92
893 1 3.93
894 1 3.94
895 1 3.95
896 1 3.96
897 1 3.97
898 1 3.98
899 1 3.99
900 1 4
901 1 4.01
902 1 4.02
903 1 4.03
904 1 4.04
905 1 4.05
906 1 4.06
907 1 4.07
908 1 4.08
909 1 4.09
910 1 4.1
911 1 4.11
912 1 4.12
913 1 4.13
914 1 4.14
915 1 4.15
916 1 4.16
917 1 4.17
918 1 4.18
919 1 4.19
920 1 4.2
921 1 4.21
922 1 4.22
923 1 4.23
924 1 4.24
925 1 4.25
926 1 4.26
927 1 4.27
928 1 4.28
929 1 4.29
930 1 4.3
931 1 4.31
932 1 4.32
933 1 4.33
934 1 4.34
935 1 4.35
936 1 4.36
937 1 4.37
938 1 4.38
939 1 4.39
940 1 4.4
941 1 4.41
942 1 4.42
943 1 4.43
944 1 4.44
945 1 4.45
946 1 4.46
947 1 4.47
948 1 4.48
949 1 4.49
950 1 4.5
951 1 4.51
952 1 4.52
953 1 4.53
954 1 4.54
955 1 4.55
956 1 4.56
957 1 4.57
958 1 4.58
959 1 4.59
960 1 4.6
961 1 4.61
962 1 4.62
963 1 4.63
964 1 4.64
965 1 4.65
966 1 4.66
967 1 4.67
968 1 4.68
969 1 4.69
970 1 4.7
971 1 4.71
972 1 4.72
973 1 4.73
974 1 4.74
975 1 4.75
976 1 4.76
977 1 4.77
978 1 4.78
979 1 4.79
980 1 4.8
981 1 4.81
982 1 4.82
983 1 4.83
984 1 4.84
985 1 4.85
986 1 4.86
987 1 4.87
988 1 4.88
989 1 4.89
990 1 4.9
991 1 4.91
992 1 4.92
993 1 4.93
994 1 4.94
995 1 4.95
996 1 4.96
997 1 4.97
998 1 4.98
999 1 4.99
1000 1 5
